alignment_family,case_id,tool,repeat,seed,status,shared_input_hash,config_hash,native_total_cycles,native_mean_latency,native_p95_latency,native_utilization_percent,runtime_wall_seconds,evidence_level,comparison_boundary,raw_path,source_path,source_sha256,metric_definition
4x4 WS hold-out,holdout_gemm_096,STAGE,0,40,completed,shape_and_frozen_mapping_contract,b6a62809008ff5758e1e8053d25865eeca12950b85b4f8ad60c354945fb93a87,59776,,,94.11764705882354,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_gemm_096/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_gemm_096/r0/result.json,cac6c2acc8e21cf5b50195384d198a1642cd215024b43bd2b627870696ef3ae1,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_gemm_096,STAGE,1,40,completed,shape_and_frozen_mapping_contract,b6a62809008ff5758e1e8053d25865eeca12950b85b4f8ad60c354945fb93a87,59776,,,94.11764705882354,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_gemm_096/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_gemm_096/r1/result.json,2f74e40b042ac275d615002d79163408432a7dec45f754f4ead607c06aaf233f,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_gemm_192,SCALE-Sim,0,40,completed,shape_and_frozen_mapping_contract,60a111ce896b8e196ca4878e7a9b419349cc80e211a64ef56b32d3f311f20551,466431,,,95.0497091792775,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_gemm_192/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_gemm_192/r0/result.json,0627a5bd012540ce96c76a8ceece548cd3111117b70abf65cd63a1694027c669,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_gemm_192,SCALE-Sim,1,40,completed,shape_and_frozen_mapping_contract,60a111ce896b8e196ca4878e7a9b419349cc80e211a64ef56b32d3f311f20551,466431,,,95.0497091792775,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_gemm_192/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_gemm_192/r1/result.json,bba0208ddfc4747ae86be696348e8d259cec4d05a4bf45e331c0c7f8d82497ca,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_gemm_192,STAGE,0,40,completed,shape_and_frozen_mapping_contract,0f990a9434110def135ddeb681ed757478841fc2a3558efd378696a4716f74aa,457216,,,96.96969696969697,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_gemm_192/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_gemm_192/r0/result.json,fa24d15ccf359c3134306cbf362379974db4a7dec459268dc30c526352c693cc,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_gemm_192,STAGE,1,40,completed,shape_and_frozen_mapping_contract,0f990a9434110def135ddeb681ed757478841fc2a3558efd378696a4716f74aa,457216,,,96.96969696969697,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_gemm_192/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_gemm_192/r1/result.json,8201d2f135123ab59a590137ba76ada014799d15ea9474795317cd39b4ac0371,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_gemm_384,SCALE-Sim,0,40,completed,shape_and_frozen_mapping_contract,a0ac510429e61b4b1c90f6f24167d0d209e897687c48eb95d0e7b1310a7b4aae,3632218,,,97.45951331710727,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_gemm_384/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_gemm_384/r0/result.json,b3ea2647e0b2936ba04c934b62f8fb727abcf2a75f5978828c6615c8222595da,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_gemm_384,SCALE-Sim,1,40,completed,shape_and_frozen_mapping_contract,a0ac510429e61b4b1c90f6f24167d0d209e897687c48eb95d0e7b1310a7b4aae,3632218,,,97.45951331710727,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_gemm_384/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_gemm_384/r1/result.json,369667f775e039fd92e9f8572c501044f1fa998ec7ec2a337d545f8c5d102e17,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_gemm_384,STAGE,0,40,completed,shape_and_frozen_mapping_contract,2dc73f7ab8542825fbf0ea74f5706b0636a4d9bb5f328bdc8ab4785ed5a5b6cf,3595264,,,98.46153846153847,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_gemm_384/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_gemm_384/r0/result.json,f54ec847f831d6f1452c9b2fab667f6bf582da8ff1e01acd9775253130b296bb,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_gemm_384,STAGE,1,40,completed,shape_and_frozen_mapping_contract,2dc73f7ab8542825fbf0ea74f5706b0636a4d9bb5f328bdc8ab4785ed5a5b6cf,3595264,,,98.46153846153847,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_gemm_384/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_gemm_384/r1/result.json,7a4af2743614684498231b2de2a28c83d45222116703c60907369a6d19dd4945,Independent schedulers; cross-tool timing is Trend evidence
