workload,traffic_scale,architecture,status,total_cycles,mean_packet_latency,p95_packet_latency,total_transport_energy_pj,electrical_backpressure,optical_backpressure,wavelength_conflicts,completed_packets,e128_cycles,speedup_vs_e128
deterministic_long_distance_exchange,4,O4,completed,1205.0,741.265625,1125.0,131127.42400000166,0.0,0.0,0.0,128.0,182.0,0.15103734439834024
gemm_256_collection,1,E128,completed,76.0,38.5,64.0,513.0239999999989,0.0,0.0,0.0,32.0,76.0,1.0
gemm_256_collection,1,H4,completed,254.0,139.9375,232.0,9307.60799999999,0.0,0.0,0.0,32.0,76.0,0.2992125984251969
gemm_256_collection,1,O1,completed,596.0,300.875,567.0,16621.84,0.0,0.0,0.0,32.0,76.0,0.12751677852348994
gemm_256_collection,1,O2,completed,495.0,279.3125,471.0,26776.15999999984,0.0,0.0,0.0,32.0,76.0,0.15353535353535352
gemm_256_collection,1,O4,completed,656.0,350.4375,632.0,26708.247999999865,0.0,0.0,0.0,32.0,76.0,0.11585365853658537
gemm_256_collection,2,E128,completed,140.0,70.5,125.0,1026.047999999999,0.0,0.0,0.0,64.0,140.0,1.0
gemm_256_collection,2,H4,completed,347.0,169.53125,295.0,18615.21599999994,0.0,0.0,0.0,64.0,140.0,0.4034582132564842
gemm_256_collection,2,O1,completed,1098.0,505.75,1029.0,33243.67999999958,0.0,0.0,0.0,64.0,140.0,0.12750455373406194
gemm_256_collection,2,O2,completed,697.0,362.53125,662.0,53552.31999999934,0.0,0.0,0.0,64.0,140.0,0.20086083213773315
gemm_256_collection,2,O4,completed,782.0,451.34375,721.0,53416.49599999923,0.0,0.0,0.0,64.0,140.0,0.17902813299232737
gemm_256_collection,4,E128,completed,268.0,134.5,248.0,2052.095999999989,0.0,0.0,0.0,128.0,268.0,1.0
gemm_256_collection,4,H4,completed,565.0,241.28125,456.0,37230.43199999963,0.0,0.0,0.0,128.0,268.0,0.4743362831858407
gemm_256_collection,4,O1,completed,2138.0,950.75,2009.0,66487.35999999793,0.0,0.0,0.0,128.0,268.0,0.1253507951356408
gemm_256_collection,4,O2,completed,1266.0,612.6484375,1194.0,107104.64000000167,0.0,0.0,0.0,128.0,268.0,0.21169036334913113
gemm_256_collection,4,O4,failed,1244.0,751.8725490196078,1145.0,99134.58400000048,0.0,0.0,0.0,102.0,268.0,
mnist_conv2_im2col,1,E128,completed,25.0,11.0625,15.0,228.86400000000015,0.0,0.0,0.0,32.0,25.0,1.0
mnist_conv2_im2col,1,H4,completed,85.0,31.75,64.0,228.86400000000015,0.0,0.0,0.0,32.0,25.0,0.29411764705882354
mnist_conv2_im2col,1,O1,completed,172.0,81.15625,133.0,5368.472000000015,0.0,0.0,0.0,32.0,25.0,0.14534883720930233
mnist_conv2_im2col,1,O2,completed,198.0,99.9375,159.0,8715.472000000003,0.0,0.0,0.0,32.0,25.0,0.12626262626262627
mnist_conv2_im2col,1,O4,completed,205.0,129.09375,191.0,8682.607999999995,0.0,0.0,0.0,32.0,25.0,0.12195121951219512
mnist_conv2_im2col,2,E128,completed,36.0,14.8125,23.0,457.7279999999995,0.0,0.0,0.0,64.0,36.0,1.0
mnist_conv2_im2col,2,H4,completed,153.0,53.015625,109.0,457.7279999999994,0.0,0.0,0.0,64.0,36.0,0.23529411764705882
mnist_conv2_im2col,2,O1,completed,230.0,110.859375,177.0,10736.943999999989,0.0,0.0,0.0,64.0,36.0,0.1565217391304348
mnist_conv2_im2col,2,O2,completed,256.0,127.0625,193.0,17430.94399999995,0.0,0.0,0.0,64.0,36.0,0.140625
mnist_conv2_im2col,2,O4,completed,300.0,162.515625,263.0,17365.215999999953,0.0,0.0,0.0,64.0,36.0,0.12
mnist_conv2_im2col,4,E128,completed,66.0,25.515625,46.0,915.4559999999954,0.0,0.0,0.0,128.0,66.0,1.0
mnist_conv2_im2col,4,H4,completed,293.0,97.9296875,204.0,915.4559999999956,0.0,0.0,0.0,128.0,66.0,0.22525597269624573
mnist_conv2_im2col,4,O1,completed,378.0,186.2890625,308.0,21473.887999999868,0.0,0.0,0.0,128.0,66.0,0.1746031746031746
mnist_conv2_im2col,4,O2,completed,375.0,197.0625,316.0,34861.88799999969,0.0,0.0,0.0,128.0,66.0,0.176
mnist_conv2_im2col,4,O4,completed,551.0,242.4375,440.0,34730.43199999977,0.0,0.0,0.0,128.0,66.0,0.11978221415607986
