K,M,N,accuracy,actual_output_hash,axis_case_id,axis_mode,axis_profile_id,axis_repeat,candidate_id,canonical_trace_hash,case_id,columns,completed_macs,compute_cycles,compute_timing_distinguishes_arithmetic_profile,compute_utilization_pct,config_hash,conversion_cycles,conversion_energy_pj,correct,dataset_hash,dominant_service,evidence_level,exact_encoded_bits,expected_output_hash,experiment_name,functional_wall_seconds,image_count,images,input_elements,internal_repeats,layer_count,layer_id,layer_kind,logical_bits,lowering_hash,mapping_hash,memory_cycles,mode,model_hash,noc_cycles,non_finite_values,output_elements,packet_count,packetized_bits,padding_bits,passed,payload_bits_per_element,peak_gpu_memory_bytes,post_op_cycles,post_op_elements_per_image,prediction_hash,profile_id,provider,raw_path,repeat,repeat_exact,rows,scenario,seed,sequential_cycles,status,total_cycles,transport_hash,weight_elements,workload_hash
,,,,c04838eee6e00c62fec23c4138cdb4e63648f40365f8edf14d17930e0a7c045d,normal_small_3x2,,fp8_a8,0,c-5492ba0a4ed323a1,,normal_small_3x2,2,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,c04838eee6e00c62fec23c4138cdb4e63648f40365f8edf14d17930e0a7c045d,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,2,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp8_a8,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-5492ba0a4ed323a1.json,0,,3,mnist_pe_kernel_conformance,7400,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,,8f9b039234b2c2f26d3baf8f3aa34293d32f0e81cd7e2d412de07f3620acf942,negative_zero_1x1,,fp32_a32,0,c-57b05421a8355eba,,negative_zero_1x1,1,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,8f9b039234b2c2f26d3baf8f3aa34293d32f0e81cd7e2d412de07f3620acf942,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,1,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp32_a32,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-57b05421a8355eba.json,0,,1,mnist_pe_kernel_conformance,7408,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,,5568809a7c05622a049454823321f183353c90101278fe5aa32e6fbcc9e97f21,rectangular_13x3,,fp32_a32,0,c-58490ce84026a7b5,,rectangular_13x3,3,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,5568809a7c05622a049454823321f183353c90101278fe5aa32e6fbcc9e97f21,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,3,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp32_a32,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-58490ce84026a7b5.json,0,,13,mnist_pe_kernel_conformance,7409,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,,ef49749e0cfb17ca9cf56df21e622c5e3adc95716e9d73f701e6bb94aacfdc0c,fp8_subnormal_8x5,,fp8_a16,0,c-58ff89d11a38de39,,fp8_subnormal_8x5,5,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,ef49749e0cfb17ca9cf56df21e622c5e3adc95716e9d73f701e6bb94aacfdc0c,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,5,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp8_a16,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-58ff89d11a38de39.json,0,,8,mnist_pe_kernel_conformance,7403,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,,f04d822e3ee775f832aaccfb96c14557d60fdd45d61e54b2aa429836096c3413,wide_range_17x13,,fp16_a16,1,c-6075d9c703a11356,,wide_range_17x13,13,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,f04d822e3ee775f832aaccfb96c14557d60fdd45d61e54b2aa429836096c3413,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,13,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp16_a16,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-6075d9c703a11356.json,1,,17,mnist_pe_kernel_conformance,7411,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,,618ae43acbe0f7e67617463cc5a1619164f86200e7e745a7dd1dd85dbcd544db,fp8_subnormal_8x5,,fp16_a16,1,c-63bbdfb0ea21758b,,fp8_subnormal_8x5,5,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,618ae43acbe0f7e67617463cc5a1619164f86200e7e745a7dd1dd85dbcd544db,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,5,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp16_a16,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-63bbdfb0ea21758b.json,1,,8,mnist_pe_kernel_conformance,7403,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,,b73018d0a18441707522a14be4442b1ca7130b8525529ec9cf670cd0898d1ef1,fp8_tie_even_10x7,,fp32_a32,0,c-640bca46caa65213,,fp8_tie_even_10x7,7,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,b73018d0a18441707522a14be4442b1ca7130b8525529ec9cf670cd0898d1ef1,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,7,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp32_a32,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-640bca46caa65213.json,0,,10,mnist_pe_kernel_conformance,7405,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,,b067fff04af1a8439f5eb38c94eafaa3839d5b1ccc7ce7e7e68053dabba4c868,wide_range_17x13,,fp32_a32,1,c-691a57037c7870ad,,wide_range_17x13,13,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,b067fff04af1a8439f5eb38c94eafaa3839d5b1ccc7ce7e7e68053dabba4c868,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,13,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp32_a32,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-691a57037c7870ad.json,1,,17,mnist_pe_kernel_conformance,7411,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,,1c09a943285337a4cc39e4c8689efa1869d2e72c0725fb0b6c25e93a4d160fbc,half_subnormal_7x4,,fp8_a8,0,c-6a7ac4dc8605c9cf,,half_subnormal_7x4,4,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,1c09a943285337a4cc39e4c8689efa1869d2e72c0725fb0b6c25e93a4d160fbc,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,4,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp8_a8,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-6a7ac4dc8605c9cf.json,0,,7,mnist_pe_kernel_conformance,7402,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,,486b9704247f8b31a5e4331f10f0aa542b57dbfbb2fa88a7b5364b4bd167eb81,half_tie_even_9x6,,fp8_a16,0,c-6ac33b3054fb2a10,,half_tie_even_9x6,6,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,486b9704247f8b31a5e4331f10f0aa542b57dbfbb2fa88a7b5364b4bd167eb81,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,6,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp8_a16,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-6ac33b3054fb2a10.json,0,,9,mnist_pe_kernel_conformance,7404,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
