profile_id,profile_hash,accuracy_candidate_id,system_candidate_id,accuracy_percent,delta_vs_fp32_percentage_points,paired_ci95_low_percentage_points,paired_ci95_high_percentage_points,prediction_disagreement,prediction_hash,packetized_bits,packet_count,traffic_reduction_vs_fp32_percent,sequential_cycles,cycle_reduction_vs_fp32_percent,conversion_cycles,conversion_energy_pj,compute_timing_distinguishes_arithmetic_profile,model_hash,dataset_hash,sample_order_hash,workload_hash,mapping_hash,transport_hash,lowering_hash,post_op_hash,paired_hash
fp32_a32,d6bc3bc19dbaf462913fa17a720130755ac9e00ae3684979f2900b9641d9b008,c-cc4b53f3099fa82f,c-08bddfb25417d3b0,98.39,0.0,0.0,0.0,0,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,9330694144,72896048,0.0,150107220,0.0,0,0,False,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,a74675bfed3834ac1c3140b2d7fb7d93d90a76608cc08515a5019a1cb2075ff4,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,47822c0eaeb0089a287b1c07079c4326c099c9c3e1d090ab4bedbbd7242622ac,485d61f9a91d1599e62a78290cf87171c6b0735030e66e8f2f1bc71071817b91
fp16_a16,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,c-5983309689126483,c-35c04c5375323477,98.4,0.01,0.0,0.03,1,494948a39b01b45ab357821186d4c415732dd643babacce5d98fff81ce3c1062,4665347072,36448024,50.0,81767180,45.527484,4556008,186613881.6,False,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,a74675bfed3834ac1c3140b2d7fb7d93d90a76608cc08515a5019a1cb2075ff4,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,47822c0eaeb0089a287b1c07079c4326c099c9c3e1d090ab4bedbbd7242622ac,abc014fbe7292f5272e4f65773f58fd9446b962b19f4f78dffb0ea61bc2d85e5
fp8_a16,f7b7a2441d48d596fb2d80f6309bf0556122ebe908e468f398921aa5040597a1,c-43be35573f0d2afe,c-31447926f274411a,98.28,-0.11,-0.2,-0.02,24,0f54eda6eb8390479a64dac8dc69af8b97e9b96ba61c844130046dfe04bc5b78,2332673664,18224013,74.999999,43041158,71.326391,2278008,93306940.8,False,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,a74675bfed3834ac1c3140b2d7fb7d93d90a76608cc08515a5019a1cb2075ff4,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,47822c0eaeb0089a287b1c07079c4326c099c9c3e1d090ab4bedbbd7242622ac,b842fac3456bc587e0583789c1ad33cf19ab43d25331ee90210c57f87906f717
fp8_a8,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,c-c8cb2dc14a8769a7,c-1f6617652f5039ab,97.35,-1.04,-1.29,-0.79,178,778beed067ebfc5c898dc783c6fcabe7b7dace8045d0c2203a081994aeed3c9b,2332673664,18224013,74.999999,43041158,71.326391,2278008,93306940.8,False,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,a74675bfed3834ac1c3140b2d7fb7d93d90a76608cc08515a5019a1cb2075ff4,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,47822c0eaeb0089a287b1c07079c4326c099c9c3e1d090ab4bedbbd7242622ac,027346146956aedddd84ff42b0ec590cddc3d45fcc5c6cf73f898b0344e5afcd
