scope,candidate_id,profile_id,repeat,layer_id,mode,image_count,logical_bits,padding_bits,packetized_bits,packet_count,compute_cycles,memory_cycles,noc_cycles,post_op_cycles,conversion_cycles,conversion_energy_pj,total_or_sequential_cycles,canonical_trace_hash,compute_timing_distinguishes_arithmetic_profile,arithmetic_profile_hash,model_hash,dataset_hash,workload_hash,mapping_hash,transport_hash,lowering_hash
layer,c-8284b64965451e05,fp8_a8,0,fc2,compute_only,10000,16400640,0,16400640,128130,24610,0,0,0,0,0,24610,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-8af78c226c3fc6ba,fp16_a16,1,conv2,compute_only,10000,1699878400,0,1699878400,13280300,375000,0,0,0,0,0,375000,792cddc03f0835d4bf294c90296721e0bfd9784d3473dce7986d22b6b14f9a7a,False,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-8ef9ac1face4059e,fp8_a16,0,fc1,full_system,10000,30325760,0,30325760,236920,75000,236925,236920,75000,29616,1213030.4000000001,653461,6daf9d587b3e78887455db6e90d521d45892e970baa895299e0154519a2ab1d0,False,f7b7a2441d48d596fb2d80f6309bf0556122ebe908e468f398921aa5040597a1,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-8f62dc547f100bc9,fp32_a32,0,fc2,compute_only,10000,65602560,0,65602560,512520,24610,0,0,0,0,0,24610,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,False,d6bc3bc19dbaf462913fa17a720130755ac9e00ae3684979f2900b9641d9b008,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-8f749317d2099d32,fp8_a16,0,fc3,compute_only,10000,7526720,64,7526784,58803,2051,0,0,0,0,0,2051,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,False,f7b7a2441d48d596fb2d80f6309bf0556122ebe908e468f398921aa5040597a1,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-93d8b0c82f478847,fp32_a32,0,fc3,compute_only,10000,30106880,0,30106880,235210,2051,0,0,0,0,0,2051,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,False,d6bc3bc19dbaf462913fa17a720130755ac9e00ae3684979f2900b9641d9b008,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-94abb2e761e82cdb,fp8_a8,1,fc3,full_system,10000,7526720,64,7526784,58803,2051,58808,58803,0,7352,301068.8,127014,7e491e74e04f8f534547e270a09816833a189ac6d7aded2abecab24677b63c6d,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-951bd926a5296215,fp8_a8,0,fc3,full_system,10000,7526720,64,7526784,58803,2051,58808,58803,0,7352,301068.8,127014,7e491e74e04f8f534547e270a09816833a189ac6d7aded2abecab24677b63c6d,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-9cf7aa66673e5d48,fp8_a8,0,fc1,full_system,10000,30325760,0,30325760,236920,75000,236925,236920,75000,29616,1213030.4000000001,653461,6daf9d587b3e78887455db6e90d521d45892e970baa895299e0154519a2ab1d0,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-9e02c8e5d6feacce,fp16_a16,1,fc1,full_system,10000,60651520,0,60651520,473840,75000,473845,473840,75000,59230,2426060.8000000003,1156915,ebe4da0153a9d4ea7e0ee0c9089028acdd858030b4b043a6a0c9c0c8c0a2c507,False,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
