profile_id,profile_hash,correct,images,accuracy,accuracy_percent,delta_vs_fp32_percentage_points,paired_ci95_low_percentage_points,paired_ci95_high_percentage_points,prediction_disagreement,baseline_correct_to_profile_wrong,baseline_wrong_to_profile_correct,repeat_0_candidate_id,repeat_1_candidate_id,prediction_hash,layer_hash_set,summary_hash,repeat_exact,evidence_level
fp32_a32,d6bc3bc19dbaf462913fa17a720130755ac9e00ae3684979f2900b9641d9b008,9839,10000,0.9839,98.39,0.0,0.0,0.0,0,0,0,c-cc4b53f3099fa82f,c-aac047aae46e2294,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,9dd7a7ccb67619d6b521608124d7097f65bc46aac9ecbb5270e0d54261a3cfd1,19d2f2dff0eb2c78255180b3004d4d4766507c90eed66832b4efb038b50d9e4c,True,Measured functional bridge
fp16_a16,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,9840,10000,0.984,98.4,0.01,0.0,0.03,1,0,1,c-5983309689126483,c-868c2f836a5973d2,494948a39b01b45ab357821186d4c415732dd643babacce5d98fff81ce3c1062,2b70b7d191956281b7e3502175d24f1c151f3c017f67623990f2aa880ee7424a,28e4d46599fd7fbf32fd03135644a1767ef10e8ec8e8b876c3e0b8fb63aa9bd2,True,Measured functional bridge
fp8_a16,f7b7a2441d48d596fb2d80f6309bf0556122ebe908e468f398921aa5040597a1,9828,10000,0.9828,98.28,-0.11,-0.2,-0.02,24,16,5,c-43be35573f0d2afe,c-4f6d22bef5b84f14,0f54eda6eb8390479a64dac8dc69af8b97e9b96ba61c844130046dfe04bc5b78,520f95f8525d1e865cbb07562d024d5cc3d92435542cf94b04509b9f801cb61f,5fb40526775d2cb63f5b9c9900ba493e07983364bed026197181f1d0a626561c,True,Measured functional bridge
fp8_a8,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,9735,10000,0.9735,97.35,-1.04,-1.29,-0.79,178,134,30,c-c8cb2dc14a8769a7,c-9bf3dba14e505f0e,778beed067ebfc5c898dc783c6fcabe7b7dace8045d0c2203a081994aeed3c9b,622ff74dee1b7efcbbe8263f094579298b429f26a39d674deb9e8b097539e810,2802ff42311b2a2c03b4973782d61a38f7ddb1730017bf7baa44cde09d89d86e,True,Measured functional bridge
