K,M,N,absolute_warm_cycle_error_pct,case_id,cold_trace_hash,comparison_boundary,evidence_level,exact_access_contract_match,expected_macs,external_cycle_scale_vs_small,family,mac_scale_vs_small,mapping_hash,paired_config_hash,scale,scalesim_cold_cycles,scalesim_stall_cycles,scalesim_total_cycles,scalesim_utilization_pct,stage_cold_total_cycles,stage_cycle_scale_vs_small,stage_memory_service_cycles,stage_memory_stall_cycles,stage_prefetch_cycles,stage_utilization_pct,stage_warm_total_cycles,stage_wavefront_cycles,trend_under_10pct,warm_cycle_relative_error,warm_trace_hash
64,64,64,5.400411761600591,attention_qk_s64,5e7cd1c85be2dc7813d7e9682f64d8adac92538b0ab6ac05c3a20d9e46ac6c26,Matched 4x4 WS wavefront/access streams; SCALE-Sim internal bank arbitration is not replicated.,Trend,True,262144,1.0,attention_qk,1.0,6bea9b44e14a5bf5bcd7b766282429a73c65502ef7c7758c3612b5375539ccef,31c924deb3b71967f90237fd5a6f33c502046d5613e349136fd8c673e9537f79,small,19967,0,18943,86.49105210367946,18944,1.0,8193,0,1024,91.42857142857143,17920,17920,True,-0.05400411761600591,eff778660b7dc8ae394647d51497631f29a94e8745dac266a83210f7aa2dda54
64,128,128,0.23913073878812457,attention_qk_s128,b9e384f952f53833191529dcea2278fee848989cef997cde3ee30ce51a68512c,Matched 4x4 WS wavefront/access streams; SCALE-Sim internal bank arbitration is not replicated.,Trend,True,1048576,3.774956448292245,attention_qk,4.0,fbca20075d385ba23392fb97e1e66cafb6a8df3de2c4ff0655556659c28a2324,31c924deb3b71967f90237fd5a6f33c502046d5613e349136fd8c673e9537f79,medium,72533,854,71509,91.647205246892,72704,4.0,65536,0,1024,91.42857142857143,71680,71680,True,0.002391307387881246,31ac171ba47d8f61f37490f2c6adf7ac3a325016c020b5322c59134162d03103
64,256,256,4.494746471224949,attention_qk_s256,7fa5101469af501596247b2a64086afc66a30384da6347abbd6007cba92c51b7,Matched 4x4 WS wavefront/access streams; SCALE-Sim internal bank arbitration is not replicated.,Trend,True,4194304,14.48487567967059,attention_qk,16.0,6736d154ed698efcc9650c8ea1b906b7d973057b6781fac543ea402ec416072a,31c924deb3b71967f90237fd5a6f33c502046d5613e349136fd8c673e9537f79,large,275411,2004,274387,95.53805391654852,287744,16.0,262144,0,1024,91.42857142857143,286720,286720,True,0.04494746471224949,7c31a0b3245b386f179ac6472c2f167c5c22d0683100199b279bded5d5b941d5
128,128,128,4.228930378642471,gemm_s128,3d9711a85dec81f26584668eed1742c1a13ba90ddf85906ed4c829ad94f9760a,Matched 4x4 WS wavefront/access streams; SCALE-Sim internal bank arbitration is not replicated.,Trend,True,2097152,1.0,gemm,1.0,f4612aeba286bf54e48c5b83fa3c82197e7c8b2edef12bc51b19f18f22cfecfe,31c924deb3b71967f90237fd5a6f33c502046d5613e349136fd8c673e9537f79,small,144299,1964,143275,91.48281277264003,138240,1.0,131072,0,1024,95.5223880597015,137216,137216,True,-0.04228930378642471,7aa3f74dadc3e9fd1e0d19987d75019a2ff3db87a64a92615e2a77c0bb3b9fc9
256,256,256,2.2358669757992886,gemm_s256,2de6e7aae9d52cdcd0b2c0b599bb2dd96f1907d2c67f26928116ceb47e6e7cd8,Matched 4x4 WS wavefront/access streams; SCALE-Sim internal bank arbitration is not replicated.,Trend,True,16777216,7.661455243413017,gemm,8.0,2428f9dc46382dcb0ac704c706b165dc27b252f1096304050933353f9f3d5f52,31c924deb3b71967f90237fd5a6f33c502046d5613e349136fd8c673e9537f79,medium,1098719,8160,1097695,95.52525974883734,1074176,7.82089552238806,1048576,0,1024,97.70992366412214,1073152,1073152,True,-0.022358669757992885,c2b34c764d851535f83444f6804a2a34c1d4a38d3c8e93d27c34dfed2607f89d
512,512,512,1.1440133617126456,gemm_s512,2fc91368c13c80bd8d5f427201b716ebb4652e825d7c213cd1cfe2c30966a8e2,Matched 4x4 WS wavefront/access streams; SCALE-Sim internal bank arbitration is not replicated.,Trend,True,134217728,59.92062118303961,gemm,64.0,fa42efc25c84ff7277000d20e0dd1ccae1d3146dc5c0a6e681eb4525386dd479,31c924deb3b71967f90237fd5a6f33c502046d5613e349136fd8c673e9537f79,large,8586151,32680,8585127,97.71093660000604,8487936,61.850746268656714,4780032,0,1024,98.84169884169884,8486912,8486912,True,-0.011440133617126456,3c3b7e70d94e80b6ef789be18a770ed68b31b605e6164ea77a2e0719f9dd0d43
512,64,256,0.5982010147937474,mlp_l1_m64,09d790dc5fc716ce52096446f002e628518cf50e1cae3a1992f9aa92fe1614fe,Matched 4x4 WS wavefront/access streams; SCALE-Sim internal bank arbitration is not replicated.,Trend,True,8388608,1.0,mlp_l1,1.0,f5e5e198c5a0b8d83ece8300c70aab2c990ace045c7d58f87681d9cd9d3c539a,31c924deb3b71967f90237fd5a6f33c502046d5613e349136fd8c673e9537f79,small,2785038,2177807,2784014,18.832089206447957,2768384,1.0,2767360,2236928,1024,18.945420906567993,2767360,530432,True,-0.005982010147937474,39526727d4131ceabec56c73b5acc9f4779d8ba5e0c294b36d0538ab4c0fae86
512,128,256,0.9686064441833693,mlp_l1_m128,5d7b340f2039edd31186e1dd4182c63db7b8e0e2a267dcacc57141293e5da1da,Matched 4x4 WS wavefront/access streams; SCALE-Sim internal bank arbitration is not replicated.,Trend,True,16777216,1.003740282915244,mlp_l1,2.0,d15275447cfc25539942d1dd04d01dc8de17465bb14f8c5fade41ad70da24ee2,31c924deb3b71967f90237fd5a6f33c502046d5613e349136fd8c673e9537f79,medium,2795451,1663932,2794427,37.52382867757862,2768384,1.0,2767360,1706496,1024,37.890841813135985,2767360,1060864,True,-0.009686064441833692,db3bbb81d638e0714a285daa94ad4d0f5c8e192be1c1d280c20d0ae933fefbb0
512,256,256,1.6863203315869855,mlp_l1_m256,b6ead28a4789558892242bd17af4fc3f7c0870e6c03e3edbe5910b482a840683,Matched 4x4 WS wavefront/access streams; SCALE-Sim internal bank arbitration is not replicated.,Trend,True,33554432,1.011067832273832,mlp_l1,4.0,3af9ed31f02b077f3415da3f10503e4a30152dcc2693e85e37c45ac644151c4d,31c924deb3b71967f90237fd5a6f33c502046d5613e349136fd8c673e9537f79,large,2815851,635756,2814827,74.50376168766321,2768384,1.0,2767360,645632,1024,75.78168362627197,2767360,2121728,True,-0.016863203315869855,4a4b41eac81782e2ebf91f05a1f9e96ece0532acc8d0666b3b8b1b0730f3c508
