ber_status,candidate_id,canonical_trace_sha256,capacity_sweep,channels,encoded_bits,evidence_level,exact_case_margin_db,exact_receiver_sensitivity_dbm,logical_bits,matched_receiver_sensitivity_dbm,matched_system_margin_db,raw_path,received_power_dbm,repeat,route_loss_db,service_cycles,wavelengths_nm
BER not modeled,c-58fa8813d80e4bfb,d5f8b3decc03c4fd95ca9ff0ce9c02e2255cc6c29f93d4830105effd879bf761,1;2;4;8,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7,132,Exact,-1.1099999999999994,-3.0,128,-18.0,13.89,experiments/aspdac/results/final_20260716/raw/rq4_optical_oracle/c-58fa8813d80e4bfb.json,-4.109999999999999,0,4.109999999999999,2,1550;1551;1552;1553;1554;1555;1556;1557
BER not modeled,c-91fdd2d7d50c9aca,d5f8b3decc03c4fd95ca9ff0ce9c02e2255cc6c29f93d4830105effd879bf761,1;2;4;8,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7,132,Exact,-1.1099999999999994,-3.0,128,-18.0,13.89,experiments/aspdac/results/final_20260716/raw/rq4_optical_oracle/c-91fdd2d7d50c9aca.json,-4.109999999999999,1,4.109999999999999,2,1550;1551;1552;1553;1554;1555;1556;1557
