accepted_offered_ratio_ci95_high,accepted_offered_ratio_ci95_low,accepted_offered_ratio_mean,accepted_offered_ratio_std,accepted_rate_ci95_high,accepted_rate_ci95_low,accepted_rate_mean,accepted_rate_std,injection_rate,packet_latency_ci95_high,packet_latency_ci95_low,packet_latency_mean,packet_latency_std,seeds,timeout_fraction,tool,traffic,unstable_fraction
1.03476000977062,0.97046599022938,1.002613,0.044938424184902445,0.0051738000488531,0.0048523299511469,0.005013065,0.00022469212092451204,0.005,27.14918378088962,26.667976219110383,26.90858,0.3363409176548236,10,0.0,BookSim2,bit_complement,0.0
1.040831817401954,0.9700649825980463,1.0054484000000001,0.04946261041590462,0.010408318174019536,0.009700649825980462,0.010054483999999999,0.000494626104159046,0.01,27.228216790207256,26.72718320979274,26.9777,0.3501983501452349,10,0.0,BookSim2,bit_complement,0.0
1.0170607583735276,0.9740952416264721,0.9955779999999999,0.03003082760542347,0.020341215167470558,0.019481904832529446,0.019911560000000002,0.0006006165521084697,0.02,27.313577958158916,26.894562041841084,27.10407,0.2928719517316589,10,0.0,BookSim2,bit_complement,0.0
1.0239245898590346,0.9910804101409654,1.0075025,0.022956500320049728,0.04095698359436138,0.039643216405638615,0.0403001,0.0009182600128019896,0.04,27.698305293786124,27.41947470621388,27.55889,0.1948891562458575,10,0.0,BookSim2,bit_complement,0.0
1.0089147561655882,0.9880542438344119,0.9984845,0.014580493777519863,0.06053488536993529,0.0592832546300647,0.059909069999999995,0.0008748296266511929,0.06,28.21991585425376,27.995304145746243,28.10761,0.15699277018031405,10,0.0,BookSim2,bit_complement,0.0
1.0100270695426783,0.9888529304573214,0.9994399999999999,0.014799703778942498,0.08080216556341428,0.07910823443658573,0.0799552,0.0011839763023153997,0.08,29.031522234298073,28.80319776570193,28.917360000000002,0.15958781072918263,10,0.0,BookSim2,bit_complement,0.0
1.005506175975514,0.9918046240244861,0.9986554,0.009576725144269743,0.10055061759755139,0.09918046240244861,0.09986554,0.0009576725144269765,0.1,30.345228723112584,30.022731276887413,30.18398,0.2254101880769573,10,0.0,BookSim2,bit_complement,0.0
1.0085292234175074,0.9932674432491592,1.0008983333333332,0.010667249550046312,0.1210235068101009,0.11919209318989912,0.12010780000000001,0.0012800699460055584,0.12,32.81378281616373,32.37017718383627,32.59198,0.3100589793356536,10,0.0,BookSim2,bit_complement,0.0
1.001571562740441,0.992693437259559,0.9971325,0.006205382268420055,0.16025145003847055,0.15883094996152944,0.1595412,0.0009928611629472098,0.16,108.76027856804001,88.84844143196,98.80436,13.91741549068808,10,0.0,BookSim2,bit_complement,0.0
0.8337054547680215,0.8330455452319786,0.8333755,0.0004612449939505874,0.1667410909536043,0.1666091090463957,0.1666751,9.224899879011145e-05,0.2,647.4322331849875,616.7837668150124,632.108,21.42180240367797,10,0.0,BookSim2,bit_complement,1.0
0.6947888768914937,0.6942211231085064,0.694505,0.000396832559459145,0.16674933045395848,0.16661306954604152,0.1666812,9.523981427020069e-05,0.24,793.0881605309598,764.4458394690403,778.767,20.01960342042547,10,0.0,BookSim2,bit_complement,1.0
0.5955259036060884,0.5950098106796259,0.5952678571428571,0.00036072410799138524,0.16674725300970472,0.16660274699029526,0.166675,0.00010100275023758792,0.28,1028.1649209164996,1012.1730790835005,1020.1690000000001,11.17752750437731,10,0.0,BookSim2,bit_complement,1.0
0.5133548191315044,0.5130126808684955,0.5131837499999999,0.0002391381733898472,0.16427354212208142,0.16416405787791857,0.1642188,7.65242154847489e-05,0.32,501.1744852133715,494.2439147866284,497.70919999999995,4.844135051792009,10,0.0,BookSim2,bit_complement,1.0
1.0352595820335104,0.9731748179664897,1.0042172,0.04339426097436291,0.005176297910167551,0.004865874089832449,0.005021086,0.00021697130487181445,0.005,17.384775204843045,17.048604795156955,17.21669,0.23496693124305354,10,0.0,BookSim2,hotspot_node5,0.0
1.0410688015575909,0.9653905984424089,1.0032297,0.05289542040468996,0.010410688015575908,0.00965390598442409,0.010032296999999999,0.0005289542040468995,0.01,17.862099782230086,17.477580217769916,17.66984,0.26876066263085785,10,0.0,BookSim2,hotspot_node5,0.0
1.0178585970174634,0.9768594029825366,0.997359,0.028656462699440836,0.02035717194034927,0.019537188059650733,0.019947180000000002,0.0005731292539888168,0.02,19.83558427396368,19.166415726036316,19.500999999999998,0.4677165974771003,10,0.0,BookSim2,hotspot_node5,0.0
0.7794790177413744,0.7720834822586256,0.77578125,0.005169123239916461,0.031179160709654978,0.03088333929034502,0.03103125,0.0002067649295966586,0.04,308.4272591159536,275.48614088404645,291.9567,23.024255674059138,10,0.0,BookSim2,hotspot_node5,1.0
0.5212335899276641,0.5188704100723358,0.520052,0.0016517489421522982,0.031274015395659854,0.03113222460434015,0.03120312,9.910493652913824e-05,0.06,716.4706978781406,491.9191021218593,604.1949,156.95075426136412,10,0.0,BookSim2,hotspot_node5,1.0
0.3884862067080123,0.38768504329198766,0.388085625,0.0005599746553044343,0.031078896536640987,0.031014803463359008,0.031046849999999997,4.479797242435557e-05,0.08,407.65471619832255,378.83028380167747,393.2425,20.14689047553824,10,0.0,BookSim2,hotspot_node5,1.0
0.31083702860474827,0.31028737139525175,0.3105622,0.00038418392585958536,0.03108370286047483,0.031028737139525173,0.031056220000000002,3.841839258595939e-05,0.1,453.8374719013399,428.17092809866006,441.00419999999997,17.939678386811234,10,0.0,BookSim2,hotspot_node5,1.0
0.25911765964215033,0.2586945070245163,0.2589060833333333,0.00029576330678766997,0.03109411915705804,0.03104334084294196,0.03106873,3.54915968145204e-05,0.12,526.7007480575577,507.1244519424423,516.9126,13.682888471859048,10,0.0,BookSim2,hotspot_node5,1.0
0.1934253849657763,0.19282461503422368,0.193125,0.0004199092577238888,0.03094806159452421,0.03085193840547579,0.0309,6.718548123582131e-05,0.16,325.83963279581855,314.4903672041815,320.165,7.932590231303879,10,0.0,BookSim2,hotspot_node5,1.0
0.15487855360891406,0.15443394639108593,0.15465625,0.00031075903937867987,0.030975710721782814,0.030886789278217187,0.03093125,6.215180787573463e-05,0.2,363.172987480758,347.5990125192419,355.38599999999997,10.885458679663733,10,0.0,BookSim2,hotspot_node5,1.0
0.12908188669540893,0.12873061330459107,0.12890625,0.0002455231879119948,0.030979652806898142,0.030895347193101858,0.0309375,5.892556509887901e-05,0.24,387.2556528161433,375.3467471838567,381.3012,8.32375167551001,10,0.0,BookSim2,hotspot_node5,1.0
