pair_id,axis_name,axis_parameter,baseline_value,intervention_value,target_category,before_total_cycles,after_total_cycles,measured_total_delta,measured_total_relative_delta,before_target_service_cycles,after_target_service_cycles,measured_target_service_delta,before_target_critical_cycles,after_target_critical_cycles,measured_target_critical_delta,measured_baseline_dominant_set,measured_intervention_dominant_set,measured_selected_intervention,registered_intervention_dominant_set,registered_selected_intervention,baseline_trace_sha256,intervention_trace_sha256,invariant_pair_hash,intervention_pair_hash,exact_repeat_pass,all_delta_intervals_pass,dominant_set_pass,pair_acceptance_pass,analysis_content_sha256,evidence_boundary
p2_mem_ports_1_to_2,memory_ports,memory_ports,1,2,memory,2560,2304,-256,-0.1,1280,640,-640,1280,0,-1280,memory,noc;softmax,noc,noc;softmax,noc,bde09f4cd62aeab0467758402fa20630e3837f205f1134777a45b979f29fbe4a,26c3cb5fa34700599d65ba91f6677afb4d551a32da8f675267e634b30ea3d75a,ecc304ac6307d08f27eff6c9f3c3d84e2772eda50b1028472d743a380612eccb,5420018201b4fe4207fa7ea4d4e67215f819b096ad9b12ba552f2bec04e7764d,True,True,True,True,8125c6a28713ff16ca75ab1d1af2d85c437bf12009f5c46c709afbb06eee453e,"Deterministic within-model counterfactual evidence only. It is not general causal identification, hardware accuracy, or a cross-tool timing claim."
p2_link_bits_64_to_128,link_width,link_bits_per_cycle,64,128,noc,3328,2560,-768,-0.23076923076923078,2048,1024,-1024,2048,0,-2048,noc,memory,memory,memory,memory,085e00d99947b361f6afbe2986b7f1dab3e5b5cf27f926eea14292dff1a4f537,bde09f4cd62aeab0467758402fa20630e3837f205f1134777a45b979f29fbe4a,9bf2441191d9cde8ba6ab1e8ec69976aa044e15457b7c848bb1a0ab8b9adc259,c08dc27fe4fe7837c35190a8918f7b48e64629236d9d299fdfc4fde894b67d7c,True,True,True,True,8125c6a28713ff16ca75ab1d1af2d85c437bf12009f5c46c709afbb06eee453e,"Deterministic within-model counterfactual evidence only. It is not general causal identification, hardware accuracy, or a cross-tool timing claim."
