case_id,repeat,Sequence,Cycle,Phase,event_type,packet_id,flit_id,flit_index,total_flits,component_id,input_port,virtual_channel,output_port,link_id,occupancy_before,occupancy_after,Ready,Valid,Granted,serialization_bits,arrival_cycle,tail_complete,committed_visible,Delivered,buffer_released,Reason,evidence_label
noc_n04_single_1024,0,3,9,1,PacketMove,noc_n04_single_1024-p0,,-1,8,router,,-1,,source0_router,-1,-1,True,True,False,1024,-1,False,True,False,False,,Exact STAGE trace
noc_n04_single_1024,0,4,10,3,Arbitration,noc_n04_single_1024-p0,,-1,8,router,west,-1,,router_sink,-1,-1,True,True,True,1024,-1,False,True,False,False,"phase=3;policy=round_robin;rr_start=north;winner_port=west;request_ports=west;rr_next=local;routing=xy;axis=x;direction=east;selected=router_sink;from=1,1;target=2,1",Exact STAGE trace
noc_n04_single_1024,0,5,10,5,LinkTransfer,noc_n04_single_1024-p0,,-1,8,router,west,-1,,router_sink,-1,-1,True,True,True,1024,-1,False,True,False,False,"phase=5;arrival_cycle=18;link_latency=1;routing=xy;axis=x;direction=east;selected=router_sink;from=1,1;target=2,1;input_port=west",Exact STAGE trace
noc_n04_single_1024,0,6,18,1,PacketMove,noc_n04_single_1024-p0,,-1,8,sink,,-1,,router_sink,-1,-1,True,True,False,1024,-1,True,True,True,True,,Exact STAGE trace
noc_n04_single_1024,1,0,0,0,PacketInjection,noc_n04_single_1024-p0,,-1,8,source0,,-1,,,-1,-1,True,True,False,1024,-1,False,False,False,False,phase=0;visible_cycle=1;exact_operand=true;requested_injection_cycle=0;packet_type=Activation;total_bits=1024;request_id=,Exact STAGE trace
noc_n04_single_1024,1,1,1,5,LinkTransfer,noc_n04_single_1024-p0,,-1,8,source0,,-1,,source0_router,-1,-1,True,True,True,1024,-1,False,True,False,False,"phase=5;arrival_cycle=9;link_latency=1;routing=xy;axis=x;direction=east;selected=source0_router;from=0,1;target=2,1",Exact STAGE trace
noc_n04_single_1024,1,2,9,1,BufferOccupancy,noc_n04_single_1024-p0,,-1,8,router,west,-1,,source0_router,8,8,True,True,False,1024,-1,True,True,False,False,buffer=router_input;input_port=west;occupancy=8;buffer_depth=16,Exact STAGE trace
noc_n04_single_1024,1,3,9,1,PacketMove,noc_n04_single_1024-p0,,-1,8,router,,-1,,source0_router,-1,-1,True,True,False,1024,-1,False,True,False,False,,Exact STAGE trace
noc_n04_single_1024,1,4,10,3,Arbitration,noc_n04_single_1024-p0,,-1,8,router,west,-1,,router_sink,-1,-1,True,True,True,1024,-1,False,True,False,False,"phase=3;policy=round_robin;rr_start=north;winner_port=west;request_ports=west;rr_next=local;routing=xy;axis=x;direction=east;selected=router_sink;from=1,1;target=2,1",Exact STAGE trace
noc_n04_single_1024,1,5,10,5,LinkTransfer,noc_n04_single_1024-p0,,-1,8,router,west,-1,,router_sink,-1,-1,True,True,True,1024,-1,False,True,False,False,"phase=5;arrival_cycle=18;link_latency=1;routing=xy;axis=x;direction=east;selected=router_sink;from=1,1;target=2,1;input_port=west",Exact STAGE trace
noc_n04_single_1024,1,6,18,1,PacketMove,noc_n04_single_1024-p0,,-1,8,sink,,-1,,router_sink,-1,-1,True,True,False,1024,-1,True,True,True,True,,Exact STAGE trace
noc_n05_contend_128,0,0,0,0,PacketInjection,noc_n05_contend_128-p0,,-1,1,source0,,-1,,,-1,-1,True,True,False,128,-1,False,False,False,False,phase=0;visible_cycle=1;exact_operand=true;requested_injection_cycle=0;packet_type=Activation;total_bits=128;request_id=,Exact STAGE trace
noc_n05_contend_128,0,1,0,0,PacketInjection,noc_n05_contend_128-p1,,-1,1,source1,,-1,,,-1,-1,True,True,False,128,-1,False,False,False,False,phase=0;visible_cycle=1;exact_operand=true;requested_injection_cycle=0;packet_type=Activation;total_bits=128;request_id=,Exact STAGE trace
noc_n05_contend_128,0,2,1,5,LinkTransfer,noc_n05_contend_128-p0,,-1,1,source0,,-1,,source0_router,-1,-1,True,True,True,128,-1,False,True,False,False,"phase=5;arrival_cycle=2;link_latency=1;routing=xy;axis=y;direction=south;selected=source0_router;from=1,0;target=2,1",Exact STAGE trace
noc_n05_contend_128,0,3,1,5,LinkTransfer,noc_n05_contend_128-p1,,-1,1,source1,,-1,,source1_router,-1,-1,True,True,True,128,-1,False,True,False,False,"phase=5;arrival_cycle=2;link_latency=1;routing=xy;axis=y;direction=north;selected=source1_router;from=1,2;target=2,1",Exact STAGE trace
noc_n05_contend_128,0,4,2,1,BufferOccupancy,noc_n05_contend_128-p0,,-1,1,router,north,-1,,source0_router,1,1,True,True,False,128,-1,True,True,False,False,buffer=router_input;input_port=north;occupancy=1;buffer_depth=1,Exact STAGE trace
noc_n05_contend_128,0,5,2,1,PacketMove,noc_n05_contend_128-p0,,-1,1,router,,-1,,source0_router,-1,-1,True,True,False,128,-1,False,True,False,False,,Exact STAGE trace
noc_n05_contend_128,0,6,2,1,BufferOccupancy,noc_n05_contend_128-p1,,-1,1,router,south,-1,,source1_router,1,1,True,True,False,128,-1,True,True,False,False,buffer=router_input;input_port=south;occupancy=1;buffer_depth=1,Exact STAGE trace
noc_n05_contend_128,0,7,2,1,PacketMove,noc_n05_contend_128-p1,,-1,1,router,,-1,,source1_router,-1,-1,True,True,False,128,-1,False,True,False,False,,Exact STAGE trace
noc_n05_contend_128,0,8,3,3,Arbitration,noc_n05_contend_128-p0,,-1,1,router,north,-1,,router_sink,-1,-1,True,True,True,128,-1,False,True,False,False,"phase=3;policy=round_robin;rr_start=north;winner_port=north;request_ports=north,south;rr_next=south;routing=xy;axis=x;direction=east;selected=router_sink;from=1,1;target=2,1",Exact STAGE trace
noc_n05_contend_128,0,9,3,3,Stall,noc_n05_contend_128-p1,,-1,1,router,north,-1,,router_sink,-1,-1,True,True,False,128,-1,False,True,False,False,phase=3;RouterConflict;stall_reason=RouterConflict;policy=round_robin;winner=noc_n05_contend_128-p0;winner_port=north;request_port=south,Exact STAGE trace
