case_id,repeat,Sequence,Cycle,Phase,event_type,packet_id,flit_id,flit_index,total_flits,component_id,input_port,virtual_channel,output_port,link_id,occupancy_before,occupancy_after,Ready,Valid,Granted,serialization_bits,arrival_cycle,tail_complete,committed_visible,Delivered,buffer_released,Reason,evidence_label
noc_n02_single_256_vc1,1,2,1,5,flit_issue,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f0,0,2,source,input0,1,router,source_link,2,1,True,True,True,128,2,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n02_single_256_vc1,1,3,1,5,flit_serialization,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f0,0,2,source_link,input0,1,router,source_link,0,0,True,True,True,128,2,False,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n02_single_256_vc1,1,1,1,9,source_visible,noc_n02_single_256_vc1-p0,,-1,2,source,input0,1,router,source_link,0,2,True,True,False,0,-1,False,True,False,False,post_commit_current_state,Independent oracle artifact
noc_n02_single_256_vc1,1,4,2,1,flit_arrival_pending,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f0,0,2,router_assembler,input0,1,router,source_link,0,1,True,True,False,0,2,False,False,False,False,head_or_body_not_router_visible,Independent oracle artifact
noc_n02_single_256_vc1,1,5,2,5,flit_issue,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f1,1,2,source,input0,1,router,source_link,1,0,True,True,True,128,3,True,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n02_single_256_vc1,1,6,2,5,flit_serialization,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f1,1,2,source_link,input0,1,router,source_link,0,0,True,True,True,128,3,True,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n02_single_256_vc1,1,7,3,1,flit_arrival_pending,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f1,1,2,router_assembler,input0,1,router,source_link,1,2,True,True,False,0,3,True,False,False,False,tail_completes_packet,Independent oracle artifact
noc_n02_single_256_vc1,1,8,3,1,tail_reassembly,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f1,1,2,router_assembler,input0,1,router,source_link,1,2,True,True,False,0,3,True,False,False,False,store_and_forward_tail_complete,Independent oracle artifact
noc_n02_single_256_vc1,1,10,4,5,router_grant,noc_n02_single_256_vc1-p0,,-1,2,router,input0,1,output,router_output_link,2,0,True,True,True,0,-1,True,True,False,True,physical_input_round_robin_winner,Independent oracle artifact
noc_n02_single_256_vc1,1,11,4,5,output_flit_serialization,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f0,0,2,router_output_link,input0,1,sink,router_output_link,0,0,True,True,True,128,5,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n02_single_256_vc1,1,9,4,9,router_queue_visible,noc_n02_single_256_vc1-p0,,-1,2,router,input0,1,output,router_output_link,0,2,True,True,False,0,-1,True,True,False,False,tail_complete_committed,Independent oracle artifact
noc_n02_single_256_vc1,1,12,5,1,sink_flit_arrival_pending,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f0,0,2,sink,input0,1,sink,router_output_link,0,1,True,True,False,0,5,False,False,False,False,head_or_body_not_component_visible,Independent oracle artifact
noc_n02_single_256_vc1,1,13,5,5,output_flit_serialization,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f1,1,2,router_output_link,input0,1,sink,router_output_link,0,0,True,True,True,128,6,True,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n02_single_256_vc1,1,14,6,1,sink_tail_delivery,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f1,1,2,sink,input0,1,sink,router_output_link,1,2,True,True,False,0,6,True,True,True,True,tail_commits_packet_delivery,Independent oracle artifact
noc_n03_single_512_vc3,0,0,0,0,injection_requested,noc_n03_single_512_vc3-p0,,-1,4,source,input0,3,router,source_link,0,0,True,True,False,0,-1,False,False,False,False,phase0_writes_next,Independent oracle artifact
noc_n03_single_512_vc3,0,2,1,5,flit_issue,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f0,0,4,source,input0,3,router,source_link,4,3,True,True,True,128,2,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,0,3,1,5,flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f0,0,4,source_link,input0,3,router,source_link,0,0,True,True,True,128,2,False,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n03_single_512_vc3,0,1,1,9,source_visible,noc_n03_single_512_vc3-p0,,-1,4,source,input0,3,router,source_link,0,4,True,True,False,0,-1,False,True,False,False,post_commit_current_state,Independent oracle artifact
noc_n03_single_512_vc3,0,4,2,1,flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f0,0,4,router_assembler,input0,3,router,source_link,0,1,True,True,False,0,2,False,False,False,False,head_or_body_not_router_visible,Independent oracle artifact
noc_n03_single_512_vc3,0,5,2,5,flit_issue,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f1,1,4,source,input0,3,router,source_link,3,2,True,True,True,128,3,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,0,6,2,5,flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f1,1,4,source_link,input0,3,router,source_link,0,0,True,True,True,128,3,False,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n03_single_512_vc3,0,7,3,1,flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f1,1,4,router_assembler,input0,3,router,source_link,1,2,True,True,False,0,3,False,False,False,False,head_or_body_not_router_visible,Independent oracle artifact
noc_n03_single_512_vc3,0,8,3,5,flit_issue,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f2,2,4,source,input0,3,router,source_link,2,1,True,True,True,128,4,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,0,9,3,5,flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f2,2,4,source_link,input0,3,router,source_link,0,0,True,True,True,128,4,False,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n03_single_512_vc3,0,10,4,1,flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f2,2,4,router_assembler,input0,3,router,source_link,2,3,True,True,False,0,4,False,False,False,False,head_or_body_not_router_visible,Independent oracle artifact
noc_n03_single_512_vc3,0,11,4,5,flit_issue,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,source,input0,3,router,source_link,1,0,True,True,True,128,5,True,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,0,12,4,5,flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,source_link,input0,3,router,source_link,0,0,True,True,True,128,5,True,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n03_single_512_vc3,0,13,5,1,flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,router_assembler,input0,3,router,source_link,3,4,True,True,False,0,5,True,False,False,False,tail_completes_packet,Independent oracle artifact
noc_n03_single_512_vc3,0,14,5,1,tail_reassembly,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,router_assembler,input0,3,router,source_link,3,4,True,True,False,0,5,True,False,False,False,store_and_forward_tail_complete,Independent oracle artifact
noc_n03_single_512_vc3,0,16,6,5,router_grant,noc_n03_single_512_vc3-p0,,-1,4,router,input0,3,output,router_output_link,4,0,True,True,True,0,-1,True,True,False,True,physical_input_round_robin_winner,Independent oracle artifact
noc_n03_single_512_vc3,0,17,6,5,output_flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f0,0,4,router_output_link,input0,3,sink,router_output_link,0,0,True,True,True,128,7,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,0,15,6,9,router_queue_visible,noc_n03_single_512_vc3-p0,,-1,4,router,input0,3,output,router_output_link,0,4,True,True,False,0,-1,True,True,False,False,tail_complete_committed,Independent oracle artifact
noc_n03_single_512_vc3,0,18,7,1,sink_flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f0,0,4,sink,input0,3,sink,router_output_link,0,1,True,True,False,0,7,False,False,False,False,head_or_body_not_component_visible,Independent oracle artifact
noc_n03_single_512_vc3,0,19,7,5,output_flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f1,1,4,router_output_link,input0,3,sink,router_output_link,0,0,True,True,True,128,8,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,0,20,8,1,sink_flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f1,1,4,sink,input0,3,sink,router_output_link,1,2,True,True,False,0,8,False,False,False,False,head_or_body_not_component_visible,Independent oracle artifact
noc_n03_single_512_vc3,0,21,8,5,output_flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f2,2,4,router_output_link,input0,3,sink,router_output_link,0,0,True,True,True,128,9,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,0,22,9,1,sink_flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f2,2,4,sink,input0,3,sink,router_output_link,2,3,True,True,False,0,9,False,False,False,False,head_or_body_not_component_visible,Independent oracle artifact
noc_n03_single_512_vc3,0,23,9,5,output_flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,router_output_link,input0,3,sink,router_output_link,0,0,True,True,True,128,10,True,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,0,24,10,1,sink_tail_delivery,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,sink,input0,3,sink,router_output_link,3,4,True,True,False,0,10,True,True,True,True,tail_commits_packet_delivery,Independent oracle artifact
noc_n03_single_512_vc3,1,0,0,0,injection_requested,noc_n03_single_512_vc3-p0,,-1,4,source,input0,3,router,source_link,0,0,True,True,False,0,-1,False,False,False,False,phase0_writes_next,Independent oracle artifact
noc_n03_single_512_vc3,1,2,1,5,flit_issue,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f0,0,4,source,input0,3,router,source_link,4,3,True,True,True,128,2,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,1,3,1,5,flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f0,0,4,source_link,input0,3,router,source_link,0,0,True,True,True,128,2,False,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n03_single_512_vc3,1,1,1,9,source_visible,noc_n03_single_512_vc3-p0,,-1,4,source,input0,3,router,source_link,0,4,True,True,False,0,-1,False,True,False,False,post_commit_current_state,Independent oracle artifact
noc_n03_single_512_vc3,1,4,2,1,flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f0,0,4,router_assembler,input0,3,router,source_link,0,1,True,True,False,0,2,False,False,False,False,head_or_body_not_router_visible,Independent oracle artifact
noc_n03_single_512_vc3,1,5,2,5,flit_issue,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f1,1,4,source,input0,3,router,source_link,3,2,True,True,True,128,3,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,1,6,2,5,flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f1,1,4,source_link,input0,3,router,source_link,0,0,True,True,True,128,3,False,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n03_single_512_vc3,1,7,3,1,flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f1,1,4,router_assembler,input0,3,router,source_link,1,2,True,True,False,0,3,False,False,False,False,head_or_body_not_router_visible,Independent oracle artifact
noc_n03_single_512_vc3,1,8,3,5,flit_issue,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f2,2,4,source,input0,3,router,source_link,2,1,True,True,True,128,4,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,1,9,3,5,flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f2,2,4,source_link,input0,3,router,source_link,0,0,True,True,True,128,4,False,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n03_single_512_vc3,1,10,4,1,flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f2,2,4,router_assembler,input0,3,router,source_link,2,3,True,True,False,0,4,False,False,False,False,head_or_body_not_router_visible,Independent oracle artifact
noc_n03_single_512_vc3,1,11,4,5,flit_issue,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,source,input0,3,router,source_link,1,0,True,True,True,128,5,True,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,1,12,4,5,flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,source_link,input0,3,router,source_link,0,0,True,True,True,128,5,True,True,False,False,one_flit_per_cycle,Independent oracle artifact
