configuration,transport_mode,channel_capacity,service_cycles_per_packet,effective_payload_bits_per_cycle,packet_count,total_cycles,mean_packet_latency_cycles,backpressure_events,total_transport_energy_pj,canonical_trace_sha256,repeat_count,workload_hash,mapping_hash,compute_hash,memory_hash,endpoint_hash,evidence_level
Single-channel electrical,electrical_contended,1,1,128.0,8192,8193,31.932861328125,57068,10485.76,1fce2cdd844864744888834d8a628bc13857a586f4b65f46acabb06b63c68291,2,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport intervention
Eight-wavelength optical,optical_contended,8,2,512.0,8192,2049,8.97265625,8128,140519.184,7f36ab0d6f4808e8af0643c40cacf56d7b31cbcae81f390d338cf88e09cd6297,2,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport intervention
