candidate_id,architecture,repeat,profile,component,energy_pj,scales_with,activity,activity_unit,owner
rfbr1-8d69dd87b6e0ad4187c4,O2,1,high,deserializer_cdr,132834.24,encoded_bit_count,22176,encoded_bit,sidecar_serdes_rx
rfbr1-8d69dd87b6e0ad4187c4,O2,1,high,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-8d69dd87b6e0ad4187c4,O2,1,high,eo_modulator_driver,34151.04,encoded_bit_count,22176,encoded_bit,sidecar_eo
rfbr1-8d69dd87b6e0ad4187c4,O2,1,high,oe_receiver_tia,75398.4,encoded_bit_count,22176,encoded_bit,sidecar_oe
rfbr1-8d69dd87b6e0ad4187c4,O2,1,high,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-8d69dd87b6e0ad4187c4,O2,1,high,waveguide_passive,0,length_loss_not_dynamic_bits,0.0474305555556,mm,sidecar_loss_budget
rfbr1-8d69dd87b6e0ad4187c4,O2,1,high,laser,3783360,execution_time_x_provisioned_tx_lanes,27024,lane_ns,sidecar_static_laser
rfbr1-8d69dd87b6e0ad4187c4,O2,1,high,thermal_tuning,1405248,execution_time_x_active_resonators,54048,resonator_ns,sidecar_static_tuning
rfbr1-026d6eef8125883f7cd8,O4,0,low,serializer,9246.72,original_bit_count,21504,original_bit,sidecar_serdes_tx
rfbr1-026d6eef8125883f7cd8,O4,0,low,deserializer_cdr,11753.28,encoded_bit_count,22176,encoded_bit,sidecar_serdes_rx
rfbr1-026d6eef8125883f7cd8,O4,0,low,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-026d6eef8125883f7cd8,O4,0,low,eo_modulator_driver,1108.8,encoded_bit_count,22176,encoded_bit,sidecar_eo
rfbr1-026d6eef8125883f7cd8,O4,0,low,oe_receiver_tia,1552.32,encoded_bit_count,22176,encoded_bit,sidecar_oe
rfbr1-026d6eef8125883f7cd8,O4,0,low,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-026d6eef8125883f7cd8,O4,0,low,waveguide_passive,0,length_loss_not_dynamic_bits,0.118166666667,mm,sidecar_loss_budget
rfbr1-026d6eef8125883f7cd8,O4,0,low,laser,21052.8,execution_time_x_provisioned_tx_lanes,70176,lane_ns,sidecar_static_laser
rfbr1-026d6eef8125883f7cd8,O4,0,low,thermal_tuning,0,execution_time_x_active_resonators,0,resonator_ns,sidecar_static_tuning
rfbr1-026d6eef8125883f7cd8,O4,0,nominal,serializer,34406.4,original_bit_count,21504,original_bit,sidecar_serdes_tx
rfbr1-026d6eef8125883f7cd8,O4,0,nominal,deserializer_cdr,53621.568,encoded_bit_count,22176,encoded_bit,sidecar_serdes_rx
rfbr1-026d6eef8125883f7cd8,O4,0,nominal,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-026d6eef8125883f7cd8,O4,0,nominal,eo_modulator_driver,15523.2,encoded_bit_count,22176,encoded_bit,sidecar_eo
rfbr1-026d6eef8125883f7cd8,O4,0,nominal,oe_receiver_tia,31046.4,encoded_bit_count,22176,encoded_bit,sidecar_oe
rfbr1-026d6eef8125883f7cd8,O4,0,nominal,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-026d6eef8125883f7cd8,O4,0,nominal,waveguide_passive,0,length_loss_not_dynamic_bits,0.118166666667,mm,sidecar_loss_budget
rfbr1-026d6eef8125883f7cd8,O4,0,nominal,laser,166142.749221,execution_time_x_provisioned_tx_lanes,70176,lane_ns,sidecar_static_laser
rfbr1-026d6eef8125883f7cd8,O4,0,nominal,thermal_tuning,273686.4,execution_time_x_active_resonators,70176,resonator_ns,sidecar_static_tuning
rfbr1-026d6eef8125883f7cd8,O4,0,high,serializer,202137.6,original_bit_count,21504,original_bit,sidecar_serdes_tx
rfbr1-026d6eef8125883f7cd8,O4,0,high,deserializer_cdr,132834.24,encoded_bit_count,22176,encoded_bit,sidecar_serdes_rx
rfbr1-026d6eef8125883f7cd8,O4,0,high,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
