candidate_id,architecture,repeat,profile,total_cycles,duration_ns,wavelengths,optical_directed_edges,provisioned_tx_lanes,observed_tx_lanes,observed_rx_lanes,has_wdm,route_length_mm,serializer_original_bits,deserializer_encoded_bits,eo_encoded_bits,oe_encoded_bits,dynamic_energy_pj,static_energy_pj,calibrated_optical_serdes_energy_pj,laser_energy_pj,tuning_energy_pj,total_path_loss_db,waveguide_loss_db,mux_loss_db,demux_loss_db,required_receiver_dbm,required_launch_dbm_per_lane,required_optical_mw_per_lane,laser_electrical_mw_per_lane,laser_required_electrical_mw_per_lane,laser_feasible_at_profile_max,active_tuned_resonators,original_synthetic_serdes_energy_pj,original_synthetic_conversion_energy_pj,original_synthetic_optical_link_energy_pj,original_reported_laser_energy_pj,original_reported_tuning_energy_pj,canonical_trace_sha256,cycles_sha256
rfbr1-8d69dd87b6e0ad4187c4,O2,1,high,563,563,2,24,48,31,31,True,0.0474305555556,21504,22176,22176,22176,444521.28,5188608,5633129.28,3783360,1405248,10.9037944444,0.00379444444444,2,2,-1.3,9.60379444444,9.12808014269,140,91.2808014269,True,96,436.8,1774.08,32252.352,0,0,70bfa6902e3162cc51b6f2b3f4497cb6c570335a6ff3808dd883a30cc2af0155,5e35d598cbe8d63649af9d7d1766dcca6cc82f677f31b17a4d020ab295d75f40
rfbr1-026d6eef8125883f7cd8,O4,0,low,731,731,4,24,96,36,36,True,0.118166666667,21504,22176,22176,22176,23661.12,21052.8,44713.92,21052.8,0,2.80295416667,0.00295416666667,0.15,0.15,-23.85,-21.0470458333,0.0078576995088,0.3,0.0275805528565,True,0,436.8,1774.08,32748.672,0,0,20445c8973e8442a2e0bfd29673f778effe32ebf5b5996402d3589e2243e50e2,0cbb711491c1a7398f3f86d8b24d8702cb1f116d429c0b75b9042c9157296743
rfbr1-026d6eef8125883f7cd8,O4,0,nominal,731,731,4,24,96,36,36,True,0.118166666667,21504,22176,22176,22176,134597.568,439829.149221,574426.717221,166142.749221,273686.4,5.70384041667,0.00384041666667,1,1,-10.2,-4.49615958333,0.355127285442,2.36751523628,2.36751523628,True,96,436.8,1774.08,32748.672,0,0,20445c8973e8442a2e0bfd29673f778effe32ebf5b5996402d3589e2243e50e2,0cbb711491c1a7398f3f86d8b24d8702cb1f116d429c0b75b9042c9157296743
rfbr1-026d6eef8125883f7cd8,O4,0,high,731,731,4,24,96,36,36,True,0.118166666667,21504,22176,22176,22176,444521.28,13473792,13918313.28,9824640,3649152,10.9094533333,0.00945333333333,2,2,-1.3,9.60945333333,9.13998185026,140,91.3998185026,True,192,436.8,1774.08,32748.672,0,0,20445c8973e8442a2e0bfd29673f778effe32ebf5b5996402d3589e2243e50e2,0cbb711491c1a7398f3f86d8b24d8702cb1f116d429c0b75b9042c9157296743
rfbr1-368e24042bffe9ce0d3e,O4,1,low,731,731,4,24,96,36,36,True,0.118166666667,21504,22176,22176,22176,23661.12,21052.8,44713.92,21052.8,0,2.80295416667,0.00295416666667,0.15,0.15,-23.85,-21.0470458333,0.0078576995088,0.3,0.0275805528565,True,0,436.8,1774.08,32748.672,0,0,20445c8973e8442a2e0bfd29673f778effe32ebf5b5996402d3589e2243e50e2,0cbb711491c1a7398f3f86d8b24d8702cb1f116d429c0b75b9042c9157296743
rfbr1-368e24042bffe9ce0d3e,O4,1,nominal,731,731,4,24,96,36,36,True,0.118166666667,21504,22176,22176,22176,134597.568,439829.149221,574426.717221,166142.749221,273686.4,5.70384041667,0.00384041666667,1,1,-10.2,-4.49615958333,0.355127285442,2.36751523628,2.36751523628,True,96,436.8,1774.08,32748.672,0,0,20445c8973e8442a2e0bfd29673f778effe32ebf5b5996402d3589e2243e50e2,0cbb711491c1a7398f3f86d8b24d8702cb1f116d429c0b75b9042c9157296743
rfbr1-368e24042bffe9ce0d3e,O4,1,high,731,731,4,24,96,36,36,True,0.118166666667,21504,22176,22176,22176,444521.28,13473792,13918313.28,9824640,3649152,10.9094533333,0.00945333333333,2,2,-1.3,9.60945333333,9.13998185026,140,91.3998185026,True,192,436.8,1774.08,32748.672,0,0,20445c8973e8442a2e0bfd29673f778effe32ebf5b5996402d3589e2243e50e2,0cbb711491c1a7398f3f86d8b24d8702cb1f116d429c0b75b9042c9157296743
rfbr1-fb217cb86a22544d7a71,H4,0,low,356,356,4,16,64,8,8,True,0.13825,4096,4224,4224,4224,4506.88,6835.2,11342.08,6835.2,0,2.80345625,0.00345625,0.15,0.15,-23.85,-21.04654375,0.00785860798178,0.3,0.0275837415998,True,0,83.2,337.92,6283.2,0,0,8d5ffba46236a2596afd5ca101e7427c982e0c794d351d518e74beeefb2636c9,939e8603c4a4a51b7f15c713dd826fde3d2ca086acd3acef475845a460ffd6bc
rfbr1-fb217cb86a22544d7a71,H4,0,nominal,356,356,4,16,64,8,8,True,0.13825,4096,4224,4224,4224,25637.632,142807.174705,168444.806705,53949.5747046,88857.6,5.704493125,0.004493125,1,1,-10.2,-4.495506875,0.355180662118,2.36787108078,2.36787108078,True,64,83.2,337.92,6283.2,0,0,8d5ffba46236a2596afd5ca101e7427c982e0c794d351d518e74beeefb2636c9,939e8603c4a4a51b7f15c713dd826fde3d2ca086acd3acef475845a460ffd6bc
rfbr1-fb217cb86a22544d7a71,H4,0,high,356,356,4,16,64,8,8,True,0.13825,4096,4224,4224,4224,84670.72,4374528,4459198.72,3189760,1184768,10.91106,0.01106,2,2,-1.3,9.61106,9.14336379994,140,91.4336379994,True,128,83.2,337.92,6283.2,0,0,8d5ffba46236a2596afd5ca101e7427c982e0c794d351d518e74beeefb2636c9,939e8603c4a4a51b7f15c713dd826fde3d2ca086acd3acef475845a460ffd6bc
rfbr1-6463eb6de5e82cdec423,H4,1,low,356,356,4,16,64,8,8,True,0.13825,4096,4224,4224,4224,4506.88,6835.2,11342.08,6835.2,0,2.80345625,0.00345625,0.15,0.15,-23.85,-21.04654375,0.00785860798178,0.3,0.0275837415998,True,0,83.2,337.92,6283.2,0,0,8d5ffba46236a2596afd5ca101e7427c982e0c794d351d518e74beeefb2636c9,939e8603c4a4a51b7f15c713dd826fde3d2ca086acd3acef475845a460ffd6bc
rfbr1-6463eb6de5e82cdec423,H4,1,nominal,356,356,4,16,64,8,8,True,0.13825,4096,4224,4224,4224,25637.632,142807.174705,168444.806705,53949.5747046,88857.6,5.704493125,0.004493125,1,1,-10.2,-4.495506875,0.355180662118,2.36787108078,2.36787108078,True,64,83.2,337.92,6283.2,0,0,8d5ffba46236a2596afd5ca101e7427c982e0c794d351d518e74beeefb2636c9,939e8603c4a4a51b7f15c713dd826fde3d2ca086acd3acef475845a460ffd6bc
rfbr1-6463eb6de5e82cdec423,H4,1,high,356,356,4,16,64,8,8,True,0.13825,4096,4224,4224,4224,84670.72,4374528,4459198.72,3189760,1184768,10.91106,0.01106,2,2,-1.3,9.61106,9.14336379994,140,91.4336379994,True,128,83.2,337.92,6283.2,0,0,8d5ffba46236a2596afd5ca101e7427c982e0c794d351d518e74beeefb2636c9,939e8603c4a4a51b7f15c713dd826fde3d2ca086acd3acef475845a460ffd6bc
